ID,Name,Sex,Age,Height,Weight,Team,NOC,Year,Season,City,Sport,Event,Medal
925,Adenzia Aparecida Ferreira da Silva,F,25,187,65,Brazil,BRA,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
980,"Rebecca ""Becky"" Adlington",F,19,179,70,Great Britain,GBR,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,Gold
980,"Rebecca ""Becky"" Adlington",F,19,179,70,Great Britain,GBR,2008,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,Gold
1682,Morolake Akinosun,F,22,163,61,United States,USA,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
2762,Margarita Sergeyevna Aliychuk,F,17,174,48,Russia,RUS,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
3792,Alyssa Jean Anderson,F,21,173,64,United States,USA,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
4928,Katie Louise Archibald,F,22,178,70,Great Britain,GBR,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Gold
5934,Sandra Auffarth,F,25,170,57,Germany,GER,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
6204,Almaz Ayana Eba,F,24,166,47,Ethiopia,ETH,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 10,000 metres",Gold
6278,Sarah Lianne Ayton (-Dempsey),F,24,167,63,Great Britain,GBR,2004,Summer,Athina,Sailing,Sailing Women's Three Person Keelboat,Gold
6296,"Viktoriya Fyodorovna ""Vika"" Azarenko",F,22,183,60,Belarus,BLR,2012,Summer,London,Tennis,Tennis Mixed Doubles,Gold
6880,Aleen May Bailey,F,23,170,64,Jamaica,JAM,2004,Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
6934,Angie Lee Bainbridge,F,18,181,67,Australia,AUS,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
7020,Kathleen Baker,F,19,173,68,United States,USA,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
7021,Keshia Chantay Baker (-Kirtz),F,24,170,62,United States,USA,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
7444,Oana Mihaela Ban,F,18,139,36,Romania,ROU,2004,Summer,Athina,Gymnastics,Gymnastics Women's Team All-Around,Gold
7884,Elinor Jane Barker,F,21,168,56,Great Britain,GBR,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Gold
8051,Bronte Amelia Arnold Barratt,F,19,171,59,Australia,AUS,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
9034,Amanda Ray Beard (-Brown),F,22,173,59,United States,USA,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Breaststroke,Gold
9750,Mireia Belmonte Garca,F,25,170,59,Spain,ESP,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,Gold
9811,Olesya Vladimirovna Belugina,F,20,175,53,Russia,RUS,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
11495,Simone Arianne Biles,F,19,143,47,United States,USA,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,Gold
11495,Simone Arianne Biles,F,19,143,47,United States,USA,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold
11495,Simone Arianne Biles,F,19,143,47,United States,USA,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,Gold
11495,Simone Arianne Biles,F,19,143,47,United States,USA,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Horse Vault,Gold
11671,"Suzanne Brigit ""Sue"" Bird",F,23,175,66,United States,USA,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Gold
11739,Vera Leonidovna Biryukova,F,18,168,47,Russia,RUS,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
12291,Anastasiya Ilyinichna Bliznyuk,F,18,173,51,Russia,RUS,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
12291,Anastasiya Ilyinichna Bliznyuk,F,22,173,51,Russia,RUS,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
